tag=20260817_204620
source=20260817_204620.jpg
exif=6
size=3024x4032
lines=11
words=17
--- lines
86,845 220,851 215,948 81,942	Doo
743,2175 1113,2178 1112,2243 742,2240	KDV Dahilclir
752,2282 1124,2282 1124,2339 752,2339	323341 215
1237,1587 1858,1580 1858,1664 1237,1671	içİH YOĞURT 2KG
1306,1848 1915,1905 1892,2142 1283,2085	149,TL
1609,2266 1749,2266 1749,2310 1609,2310	YERLI
1626,2303 1796,2316 1791,2372 1621,2359	ORETIN
2035,2026 2355,2026 2355,2098 2035,2098	Birim Fiyat
2078,2113 2347,2113 2347,2248 2078,2248	74,7
2531,1574 2618,1574 2618,1638 2531,1638	75
2091,2287 2585,2287 2585,2347 2091,2347	FDT: 04.03.2026
--- words
86,845 220,851 215,948 81,942	Doo
743,2175 877,2176 876,2241 742,2240	KDV
901,2176 1113,2177 1112,2242 900,2241	Dahilclir
752,2282 967,2282 967,2339 752,2339	323341
1016,2282 1124,2282 1124,2339 1016,2339	215
1237,1587 1371,1585 1371,1669 1237,1671	içİH
1397,1585 1698,1581 1698,1665 1397,1669	YOĞURT
1721,1582 1858,1580 1858,1664 1721,1666	2KG
1306,1848 1915,1905 1892,2142 1283,2085	149,TL
1609,2266 1749,2266 1749,2310 1609,2310	YERLI
1626,2303 1796,2316 1791,2372 1621,2359	ORETIN
2035,2026 2173,2026 2173,2098 2035,2098	Birim
2209,2026 2355,2026 2355,2098 2209,2098	Fiyat
2078,2113 2347,2113 2347,2248 2078,2248	74,7
2531,1574 2618,1574 2618,1638 2531,1638	75
2091,2287 2222,2287 2222,2347 2091,2347	FDT:
2239,2287 2585,2287 2585,2347 2239,2347	04.03.2026
